participant_id,action,reward,response_time,reward_action0,reward_action1,reward_action2,reward_action3,trial_id,missed,BOLD
0,0.0,84.0,1104.0,84,87,42,23,0,False,-0.43169565305046165
0,1.0,90.0,1076.0,90,90,46,18,1,False,-1.83898255377621
0,2.0,53.0,612.0,80,84,53,28,2,False,-0.5863664517927879
0,3.0,24.0,742.0,87,81,50,24,3,False,-1.9544752856973788
0,1.0,92.0,927.0,86,92,61,28,4,False,0.17103566816991309
0,1.0,78.0,966.0,75,78,55,30,5,False,0.33390579000098514
0,0.0,71.0,637.0,71,78,50,34,6,False,1.4299900493992412
0,0.0,75.0,644.0,75,83,58,43,7,False,0.30866967325173067
0,1.0,80.0,640.0,77,80,52,30,8,False,-0.5006976581658539
0,1.0,80.0,1161.0,70,80,43,28,9,False,0.6866196973739437
0,1.0,91.0,953.0,65,91,49,29,10,False,0.13718870542499634
0,1.0,90.0,816.0,77,90,53,30,11,False,0.4955275449915866
0,3.0,29.0,611.0,66,79,44,29,12,False,0.27468085141487447
0,2.0,45.0,1152.0,66,90,45,30,13,False,0.9163516924307034
0,1.0,81.0,601.0,67,81,45,35,14,False,0.19370083684215017
0,1.0,75.0,579.0,59,75,39,32,15,False,0.3177717618869102
0,1.0,82.0,560.0,67,82,54,33,16,False,-1.6613941030381731
0,1.0,82.0,606.0,64,82,51,20,17,False,-0.22342670080985721
0,1.0,87.0,577.0,61,87,42,28,18,False,-0.6867778971465912
0,1.0,85.0,593.0,62,85,50,27,19,False,-0.9688569375227642
0,1.0,87.0,597.0,55,87,46,32,20,False,-0.15296088567455332
0,1.0,87.0,830.0,59,87,51,34,21,False,-0.2239668105424882
0,1.0,79.0,676.0,56,79,50,38,22,False,-0.9590727939556174
0,1.0,75.0,1009.0,57,75,45,34,23,False,-0.6048160712837622
0,0.0,61.0,1170.0,61,75,47,34,24,False,-0.16636270739025671
0,2.0,40.0,587.0,59,74,40,33,25,False,0.6772838190910655
0,3.0,37.0,777.0,50,82,42,37,26,False,0.475774321701483
0,1.0,72.0,914.0,57,72,48,41,27,False,1.7379579159895133
0,1.0,73.0,897.0,60,73,48,37,28,False,2.4086788180871292
0,0.0,66.0,1569.0,66,71,47,38,29,False,-0.4354914860283293
0,1.0,57.0,583.0,65,57,48,34,30,False,1.036036172399731
0,0.0,64.0,692.0,64,62,48,28,31,False,-0.4243935671043627
0,0.0,63.0,598.0,63,56,51,23,32,False,-0.8830724791327754
0,0.0,61.0,610.0,61,58,49,37,33,False,-0.15784558123370449
0,2.0,54.0,581.0,57,61,54,30,34,False,1.597680176122766
0,3.0,30.0,634.0,56,67,57,30,35,False,0.27488432609814356
0,0.0,59.0,1240.0,59,64,52,29,36,False,0.9353463091624199
0,2.0,56.0,645.0,48,65,56,27,37,False,1.1859128934648169
0,2.0,46.0,579.0,46,64,46,27,38,False,-1.189635322598886
0,0.0,59.0,709.0,59,60,42,35,39,False,0.8034378761032684
0,1.0,63.0,660.0,55,63,47,26,40,False,0.9363236568123066
0,1.0,63.0,583.0,55,63,48,14,41,False,-1.6763439677732703
0,1.0,58.0,555.0,56,58,50,17,42,False,0.8535403174070905
0,0.0,53.0,592.0,53,56,52,20,43,False,0.5241377705566083
0,2.0,60.0,709.0,52,55,60,17,44,False,-1.0463192307711051
0,2.0,59.0,558.0,56,61,59,16,45,False,-2.0428502300541402
0,0.0,52.0,605.0,52,55,49,17,46,False,-0.34921448628101476
0,2.0,54.0,854.0,58,51,54,18,47,False,-0.07028006119395233
0,3.0,23.0,608.0,59,57,56,23,48,False,0.6934122426097377
0,1.0,52.0,572.0,65,52,51,14,49,False,-0.38596949604053443
0,2.0,52.0,645.0,67,52,52,18,50,False,-0.44757292132580434
0,0.0,67.0,685.0,67,52,51,26,51,False,1.1751305261998384
0,0.0,71.0,543.0,71,66,48,17,52,False,0.3761335227341441
0,0.0,71.0,743.0,71,57,48,19,53,False,0.1823946729071072
0,0.0,69.0,582.0,69,57,55,14,54,False,0.4302627709347233
0,1.0,46.0,531.0,69,46,48,12,55,False,0.7742270087646596
0,2.0,47.0,1372.0,68,68,47,8,56,False,-0.43341825590128263
0,3.0,19.0,630.0,61,60,51,19,57,False,-0.6889549007820336
0,0.0,63.0,868.0,63,57,63,19,58,False,-0.2708941151851574
0,0.0,58.0,748.0,58,54,51,23,59,False,0.5361431198260171
0,0.0,62.0,592.0,62,53,61,18,60,False,1.0093131600488485
0,0.0,53.0,865.0,53,50,53,18,61,False,-1.2275336482275985
0,0.0,59.0,623.0,59,61,50,13,62,False,-0.19156435525324464
0,0.0,65.0,523.0,65,50,54,26,63,False,-1.2284922218034355
0,1.0,58.0,1848.0,61,58,52,35,64,False,0.10930674511403168
0,2.0,54.0,631.0,65,54,54,27,65,False,0.5499144699624132
0,0.0,61.0,987.0,61,56,61,23,66,False,1.2457857762120965
0,1.0,66.0,820.0,63,66,61,28,67,False,0.5011597222019735
0,2.0,62.0,609.0,55,71,62,21,68,False,1.3298947393962632
0,0.0,61.0,681.0,61,57,64,33,69,False,-0.005691821212028901
0,1.0,56.0,632.0,54,56,58,29,70,False,-0.7850625124867021
0,2.0,58.0,674.0,50,51,58,24,71,False,0.04914209758401766
0,0.0,49.0,706.0,49,50,53,34,72,False,0.00993717419092277
0,2.0,50.0,649.0,47,61,50,30,73,False,0.1387381872988974
0,1.0,63.0,601.0,49,63,51,31,74,False,1.2786031067141315
0,1.0,68.0,533.0,49,68,57,40,75,False,-0.8366550455012004
0,1.0,56.0,651.0,42,56,44,41,76,False,-0.07022814172951486
0,1.0,59.0,641.0,48,59,43,39,77,False,-0.538545458251386
0,1.0,66.0,581.0,42,66,48,35,78,False,0.8694410649870885
0,1.0,56.0,558.0,42,56,50,40,79,False,-0.2030446614406886
0,1.0,56.0,1553.0,43,56,51,35,80,False,-0.5764004341088607
0,0.0,48.0,661.0,48,59,49,37,81,False,-0.146658221758584
0,1.0,59.0,1466.0,39,59,48,31,82,False,-0.11537662891815056
0,1.0,55.0,675.0,32,55,54,36,83,False,0.7915488220714566
0,2.0,51.0,568.0,38,52,51,40,84,False,-1.8331769469561057
0,2.0,58.0,636.0,43,61,58,34,85,False,-0.0034419839800652052
0,2.0,51.0,758.0,43,60,51,32,86,False,-0.019388165787010088
0,2.0,62.0,874.0,40,58,62,32,87,False,-0.6088455373296369
0,2.0,64.0,1307.0,45,61,64,43,88,False,0.21897026641886758
0,2.0,60.0,801.0,50,56,60,34,89,False,-0.0631912374590337
0,2.0,62.0,892.0,39,54,62,39,90,False,-1.0892717608365767
0,2.0,64.0,557.0,47,53,64,38,91,False,0.03279792275561006
0,2.0,50.0,728.0,35,53,50,38,92,False,0.8949190164121563
0,3.0,40.0,647.0,40,57,60,40,93,False,1.359127460358294
0,2.0,50.0,563.0,40,54,50,36,94,False,-0.5478250248285159
0,1.0,49.0,644.0,36,49,65,39,95,False,-0.687848245921583
0,0.0,33.0,1165.0,33,56,68,40,96,False,-0.7628687049615221
0,1.0,55.0,817.0,37,55,71,48,97,False,0.4520407666306824
0,2.0,78.0,1064.0,36,51,78,45,98,False,1.5921791122579505
0,2.0,79.0,542.0,27,54,79,47,99,False,0.3487718851046945
0,-1.0,0.0,0.0,35,59,79,46,100,True,0.6925686153958972
0,2.0,85.0,1795.0,28,63,85,43,101,False,0.8770355043612615
0,-1.0,0.0,0.0,38,62,80,34,102,True,0.046511758719797555
0,2.0,82.0,613.0,36,62,82,43,103,False,-0.36061728060169684
0,2.0,83.0,739.0,31,54,83,50,104,False,1.9207286687612752
0,2.0,85.0,686.0,35,58,85,38,105,False,-1.7935654030006096
0,2.0,71.0,695.0,35,55,71,41,106,False,2.0307061220422087
0,2.0,74.0,704.0,34,52,74,42,107,False,-0.8496843117936522
0,2.0,83.0,673.0,23,59,83,46,108,False,-0.30987400926899084
0,2.0,69.0,558.0,34,57,69,53,109,False,1.5257507770337715
0,2.0,75.0,628.0,33,51,75,52,110,False,-0.24132166997562193
0,2.0,64.0,1708.0,18,49,64,46,111,False,-0.10366219340569528
0,1.0,47.0,617.0,33,47,68,51,112,False,-0.016047197136067233
0,0.0,34.0,629.0,34,55,74,43,113,False,-1.2707760792087162
0,3.0,38.0,702.0,31,46,80,38,114,False,1.4680149885296092
0,2.0,70.0,564.0,30,40,70,40,115,False,-1.1920370626037595
0,2.0,73.0,659.0,36,44,73,45,116,False,-1.2346155484420511
0,2.0,66.0,835.0,26,47,66,39,117,False,-0.4760130052662596
0,2.0,71.0,602.0,30,46,71,49,118,False,-0.6754190016287658
0,2.0,70.0,625.0,24,50,70,37,119,False,-1.3526534086062398
0,2.0,71.0,598.0,33,47,71,35,120,False,-0.4836422476737821
0,2.0,65.0,1048.0,29,45,65,39,121,False,0.33490689764427306
0,1.0,43.0,646.0,29,43,71,45,122,False,2.020195822411529
0,0.0,37.0,664.0,37,32,73,51,123,False,0.16525657383270526
0,3.0,48.0,938.0,37,48,65,48,124,False,-2.5028441827560113
0,2.0,73.0,752.0,33,35,73,46,125,False,-0.7227644564064398
0,2.0,66.0,750.0,37,35,66,41,126,False,0.12930568724465077
0,2.0,59.0,903.0,45,41,59,37,127,False,0.36681557484317734
0,2.0,69.0,761.0,29,37,69,40,128,False,-1.082810427579338
0,2.0,75.0,600.0,34,40,75,47,129,False,0.3632367293232086
0,2.0,67.0,659.0,32,40,67,40,130,False,-1.0563068970433491
0,2.0,63.0,718.0,43,40,63,42,131,False,-0.3393890727029733
0,2.0,74.0,810.0,48,44,74,37,132,False,-1.1209209381828298
0,2.0,70.0,585.0,35,45,70,49,133,False,0.06462319747411252
0,2.0,77.0,1064.0,39,37,77,47,134,False,-0.6025295917334106
0,2.0,70.0,814.0,42,35,70,46,135,False,-0.6074042127353926
0,2.0,78.0,652.0,34,34,78,56,136,False,0.11384799062689785
0,2.0,74.0,587.0,29,39,74,54,137,False,-1.3468322686229417
0,2.0,70.0,608.0,33,28,70,46,138,False,-0.9068704173697716
0,2.0,68.0,717.0,33,31,68,54,139,False,0.19841720227686205
0,2.0,67.0,664.0,33,33,67,60,140,False,-0.029684207107256267
0,2.0,63.0,951.0,37,26,63,56,141,False,-1.1159342011039748
0,2.0,65.0,665.0,33,34,65,57,142,False,0.49581727154106114
0,0.0,36.0,616.0,36,35,60,51,143,False,-1.519104553875214
0,1.0,38.0,1295.0,44,38,60,55,144,False,0.8385609684289002
0,3.0,48.0,680.0,47,35,62,48,145,False,-0.33624041172447733
0,2.0,61.0,749.0,46,47,61,57,146,False,-0.7506532344989704
0,2.0,70.0,644.0,46,35,70,43,147,False,0.9722518531774829
0,2.0,60.0,769.0,46,44,60,59,148,False,-1.5780731678290572
0,2.0,56.0,657.0,39,35,56,51,149,False,-0.021368346523016654
1,0.0,84.0,1108.0,84,87,42,23,0,False,-0.58025258100714
1,1.0,90.0,1012.0,90,90,46,18,1,False,-0.2942236982044967
1,2.0,53.0,1227.0,80,84,53,28,2,False,-0.879667772520798
1,3.0,24.0,864.0,87,81,50,24,3,False,-1.2794435686084835
1,1.0,92.0,833.0,86,92,61,28,4,False,2.1155759821952107
1,1.0,78.0,957.0,75,78,55,30,5,False,-0.40559260390475077
1,0.0,71.0,763.0,71,78,50,34,6,False,0.6237347773237657
1,2.0,58.0,851.0,75,83,58,43,7,False,1.9924634963958363
1,3.0,30.0,1136.0,77,80,52,30,8,False,-0.3734867941771799
1,1.0,80.0,722.0,70,80,43,28,9,False,-0.33078865419871994
1,1.0,91.0,765.0,65,91,49,29,10,False,-1.0781572500210286
1,1.0,90.0,730.0,77,90,53,30,11,False,-1.2027051609273332
1,1.0,79.0,657.0,66,79,44,29,12,False,-1.5420739133337666
1,1.0,90.0,763.0,66,90,45,30,13,False,-0.43117784582361474
1,1.0,81.0,765.0,67,81,45,35,14,False,0.014744432960617795
1,1.0,75.0,771.0,59,75,39,32,15,False,0.42021459804293726
1,1.0,82.0,784.0,67,82,54,33,16,False,-0.6607482315575782
1,1.0,82.0,714.0,64,82,51,20,17,False,-0.9142988135058381
1,1.0,87.0,743.0,61,87,42,28,18,False,0.5911601154782625
1,0.0,62.0,738.0,62,85,50,27,19,False,-1.886848562115397
1,1.0,87.0,1447.0,55,87,46,32,20,False,-0.06861113753931382
1,1.0,87.0,786.0,59,87,51,34,21,False,-0.49112024755179085
1,1.0,79.0,718.0,56,79,50,38,22,False,0.3098476459429904
1,1.0,75.0,1006.0,57,75,45,34,23,False,-0.7459666229713042
1,1.0,75.0,706.0,61,75,47,34,24,False,-0.23520168299493296
1,3.0,33.0,720.0,59,74,40,33,25,False,-0.14751140306563731
1,-1.0,0.0,0.0,50,82,42,37,26,True,-0.9824952055569326
1,1.0,72.0,886.0,57,72,48,41,27,False,0.006246235276378478
1,1.0,73.0,669.0,60,73,48,37,28,False,-0.8801830488542444
1,1.0,71.0,803.0,66,71,47,38,29,False,0.0071480187213876605
1,1.0,57.0,779.0,65,57,48,34,30,False,0.1587813786026142
1,2.0,48.0,730.0,64,62,48,28,31,False,-0.44876475864822984
1,-1.0,0.0,0.0,63,56,51,23,32,True,1.3167260847875824
1,0.0,61.0,1042.0,61,58,49,37,33,False,1.4517311315693213
1,1.0,61.0,711.0,57,61,54,30,34,False,0.4970134998535347
1,1.0,67.0,1005.0,56,67,57,30,35,False,1.012655111745774
1,1.0,64.0,1129.0,59,64,52,29,36,False,0.2610993335055
1,1.0,65.0,936.0,48,65,56,27,37,False,1.2606123844390196
1,1.0,64.0,882.0,46,64,46,27,38,False,-1.02934736755889
1,1.0,60.0,1080.0,59,60,42,35,39,False,-0.28023359469439735
1,3.0,26.0,811.0,55,63,47,26,40,False,0.5090665927885087
1,1.0,63.0,1117.0,55,63,48,14,41,False,0.32040361125639677
1,1.0,58.0,1120.0,56,58,50,17,42,False,0.9841621906313112
1,1.0,56.0,1028.0,53,56,52,20,43,False,0.2230777310212761
1,1.0,55.0,1011.0,52,55,60,17,44,False,0.23360303846351593
1,1.0,61.0,1003.0,56,61,59,16,45,False,0.5316803358470295
1,1.0,55.0,973.0,52,55,49,17,46,False,-0.32663370941165637
1,1.0,51.0,932.0,58,51,54,18,47,False,-0.36060336422968287
1,1.0,57.0,1114.0,59,57,56,23,48,False,-1.6275988406686455
1,1.0,52.0,844.0,65,52,51,14,49,False,0.9494681615884318
1,1.0,52.0,881.0,67,52,52,18,50,False,-0.4814557804792553
1,0.0,67.0,906.0,67,52,51,26,51,False,-1.1727342333725432
1,1.0,66.0,810.0,71,66,48,17,52,False,0.3388684035298808
1,0.0,71.0,814.0,71,57,48,19,53,False,-0.5748295443392225
1,1.0,57.0,765.0,69,57,55,14,54,False,-0.9579292438457341
1,0.0,69.0,889.0,69,46,48,12,55,False,0.8858961904126041
1,0.0,68.0,853.0,68,68,47,8,56,False,-1.1394016152751933
1,2.0,51.0,918.0,61,60,51,19,57,False,-0.29804795375308646
1,0.0,63.0,759.0,63,57,63,19,58,False,1.4042216371237617
1,3.0,23.0,857.0,58,54,51,23,59,False,-0.874282140406539
1,0.0,62.0,775.0,62,53,61,18,60,False,-1.435451627003448
1,1.0,50.0,860.0,53,50,53,18,61,False,-0.27709736467773316
1,0.0,59.0,1057.0,59,61,50,13,62,False,-1.6958605441405645
1,0.0,65.0,748.0,65,50,54,26,63,False,-0.745041218228246
1,0.0,61.0,983.0,61,58,52,35,64,False,-2.108610480234674
1,0.0,65.0,815.0,65,54,54,27,65,False,0.7783801675611227
1,0.0,61.0,719.0,61,56,61,23,66,False,0.08104894149564774
1,0.0,63.0,804.0,63,66,61,28,67,False,0.20028791954609174
1,0.0,55.0,919.0,55,71,62,21,68,False,0.9144015819478142
1,1.0,57.0,919.0,61,57,64,33,69,False,-1.3429537749439704
1,2.0,58.0,967.0,54,56,58,29,70,False,1.4026794882603142
