participant_id,action,reward,response_time,reward_action0,reward_action1,reward_action2,reward_action3,trial_id,missed
100,1.0,87.0,1446.0,84,87,42,23,0,False
100,1.0,90.0,1597.0,90,90,46,18,1,False
100,3.0,28.0,1216.0,80,84,53,28,2,False
100,2.0,50.0,1036.0,87,81,50,24,3,False
100,1.0,92.0,1094.0,86,92,61,28,4,False
100,1.0,78.0,1021.0,75,78,55,30,5,False
100,0.0,71.0,1017.0,71,78,50,34,6,False
100,1.0,83.0,911.0,75,83,58,43,7,False
100,1.0,80.0,1007.0,77,80,52,30,8,False
100,1.0,80.0,924.0,70,80,43,28,9,False
100,2.0,49.0,1555.0,65,91,49,29,10,False
100,1.0,90.0,1118.0,77,90,53,30,11,False
100,1.0,79.0,1000.0,66,79,44,29,12,False
100,1.0,90.0,1164.0,66,90,45,30,13,False
100,1.0,81.0,851.0,67,81,45,35,14,False
100,0.0,59.0,1289.0,59,75,39,32,15,False
100,1.0,82.0,844.0,67,82,54,33,16,False
100,3.0,20.0,809.0,64,82,51,20,17,False
100,1.0,87.0,797.0,61,87,42,28,18,False
100,1.0,85.0,796.0,62,85,50,27,19,False
100,1.0,87.0,805.0,55,87,46,32,20,False
100,1.0,87.0,872.0,59,87,51,34,21,False
100,1.0,79.0,955.0,56,79,50,38,22,False
100,1.0,75.0,894.0,57,75,45,34,23,False
100,3.0,34.0,1211.0,61,75,47,34,24,False
100,1.0,74.0,900.0,59,74,40,33,25,False
100,0.0,50.0,992.0,50,82,42,37,26,False
100,1.0,72.0,782.0,57,72,48,41,27,False
100,1.0,73.0,803.0,60,73,48,37,28,False
100,1.0,71.0,980.0,66,71,47,38,29,False
100,1.0,57.0,874.0,65,57,48,34,30,False
100,2.0,48.0,835.0,64,62,48,28,31,False
100,0.0,63.0,865.0,63,56,51,23,32,False
100,0.0,61.0,906.0,61,58,49,37,33,False
100,1.0,61.0,831.0,57,61,54,30,34,False
100,0.0,56.0,1016.0,56,67,57,30,35,False
100,1.0,64.0,902.0,59,64,52,29,36,False
100,-1.0,0.0,0.0,48,65,56,27,37,True
100,3.0,27.0,1082.0,46,64,46,27,38,False
100,1.0,60.0,826.0,59,60,42,35,39,False
100,0.0,55.0,823.0,55,63,47,26,40,False
100,1.0,63.0,842.0,55,63,48,14,41,False
100,1.0,58.0,904.0,56,58,50,17,42,False
100,2.0,52.0,895.0,53,56,52,20,43,False
100,1.0,55.0,980.0,52,55,60,17,44,False
100,1.0,61.0,1175.0,56,61,59,16,45,False
100,1.0,55.0,1300.0,52,55,49,17,46,False
100,0.0,58.0,778.0,58,51,54,18,47,False
100,0.0,59.0,843.0,59,57,56,23,48,False
100,0.0,65.0,892.0,65,52,51,14,49,False
100,0.0,67.0,810.0,67,52,52,18,50,False
100,0.0,67.0,820.0,67,52,51,26,51,False
100,-1.0,0.0,0.0,71,66,48,17,52,True
100,0.0,71.0,948.0,71,57,48,19,53,False
100,0.0,69.0,1278.0,69,57,55,14,54,False
100,0.0,69.0,959.0,69,46,48,12,55,False
100,0.0,68.0,896.0,68,68,47,8,56,False
100,0.0,61.0,793.0,61,60,51,19,57,False
100,2.0,63.0,836.0,63,57,63,19,58,False
100,2.0,51.0,881.0,58,54,51,23,59,False
100,2.0,61.0,885.0,62,53,61,18,60,False
100,2.0,53.0,842.0,53,50,53,18,61,False
100,-1.0,0.0,0.0,59,61,50,13,62,True
100,0.0,65.0,968.0,65,50,54,26,63,False
100,0.0,61.0,898.0,61,58,52,35,64,False
100,3.0,27.0,804.0,65,54,54,27,65,False
100,-1.0,0.0,0.0,61,56,61,23,66,True
100,3.0,28.0,892.0,63,66,61,28,67,False
100,0.0,55.0,763.0,55,71,62,21,68,False
100,1.0,57.0,721.0,61,57,64,33,69,False
100,1.0,56.0,829.0,54,56,58,29,70,False
100,2.0,58.0,904.0,50,51,58,24,71,False
100,-1.0,0.0,0.0,49,50,53,34,72,True
100,2.0,50.0,914.0,47,61,50,30,73,False
100,0.0,49.0,753.0,49,63,51,31,74,False
100,1.0,68.0,795.0,49,68,57,40,75,False
100,1.0,56.0,780.0,42,56,44,41,76,False
100,1.0,59.0,706.0,48,59,43,39,77,False
100,1.0,66.0,751.0,42,66,48,35,78,False
100,1.0,56.0,771.0,42,56,50,40,79,False
100,1.0,56.0,769.0,43,56,51,35,80,False
100,1.0,59.0,693.0,48,59,49,37,81,False
100,1.0,59.0,680.0,39,59,48,31,82,False
100,1.0,55.0,793.0,32,55,54,36,83,False
100,1.0,52.0,808.0,38,52,51,40,84,False
100,0.0,43.0,888.0,43,61,58,34,85,False
100,1.0,60.0,779.0,43,60,51,32,86,False
100,1.0,58.0,744.0,40,58,62,32,87,False
100,1.0,61.0,468.0,45,61,64,43,88,False
100,-1.0,0.0,0.0,50,56,60,34,89,True
100,1.0,54.0,921.0,39,54,62,39,90,False
100,2.0,64.0,905.0,47,53,64,38,91,False
100,2.0,50.0,857.0,35,53,50,38,92,False
100,1.0,57.0,728.0,40,57,60,40,93,False
100,1.0,54.0,782.0,40,54,50,36,94,False
100,1.0,49.0,751.0,36,49,65,39,95,False
100,2.0,68.0,718.0,33,56,68,40,96,False
100,2.0,71.0,749.0,37,55,71,48,97,False
100,-1.0,0.0,0.0,36,51,78,45,98,True
100,2.0,79.0,832.0,27,54,79,47,99,False
100,2.0,79.0,803.0,35,59,79,46,100,False
100,2.0,85.0,797.0,28,63,85,43,101,False
100,2.0,80.0,861.0,38,62,80,34,102,False
100,2.0,82.0,737.0,36,62,82,43,103,False
100,2.0,83.0,801.0,31,54,83,50,104,False
100,2.0,85.0,677.0,35,58,85,38,105,False
100,2.0,71.0,792.0,35,55,71,41,106,False
100,2.0,74.0,655.0,34,52,74,42,107,False
100,2.0,83.0,760.0,23,59,83,46,108,False
100,2.0,69.0,894.0,34,57,69,53,109,False
100,2.0,75.0,1010.0,33,51,75,52,110,False
