Membrane potential (mV),Stimulus,Total Current Input (a.u.)
-67.8,0,21.8
-70.29,0,19.68
-73.61,0,11.96
-79.41,0,1
-85.69,0,2
-87.17,0,2
-87.38,0,2
-87.29,0,2
-87.14,0,2
-86.98,0,2
-86.81,0,2
-86.65,0,2
-86.49,0,2
-86.32,0,2
-86.16,0,2
-86,0,2
-85.84,0,2
-85.69,0,2
-85.53,0,2
-85.37,0,1
-85.35,0,2
-85.1,0,2
-84.92,0,2
-84.76,0,2
-84.61,0,2
-84.46,0,2
-84.51,0,2
-84.22,0,2
-84.03,0,2
-83.88,0,2
-83.73,0,2
-83.58,0,2
-83.44,0,2
-83.3,0,2
-83.16,0,2
-83.02,0,2
-82.88,0,2
-82.74,0,2
-82.6,0,2
-82.46,0,2
-82.33,0,2
-82.19,0,2
-82.06,0,2
-81.93,0,2
-81.79,0,2
-81.66,0,1
-81.67,0,2
-81.45,0,2
-81.29,0,2
-81.15,0,2
-81.02,0,2
-80.89,0,2
-80.77,0,2
-80.64,0,2
-80.52,0,2
-80.4,0,2
-80.28,0,2
-80.16,0,2
-80.04,0,2
-79.92,0,2
-79.8,0,2
-79.68,0,2
-79.56,0,2
-79.45,0,2
-79.33,0,2
-79.22,0,2
-79.1,0,2
-78.99,0,2
-78.88,0,2
-78.77,0,2
-78.66,0,2
-78.55,0,2
-78.44,0,2
-78.33,0,2
-78.22,0,2
-78.32,0,2
-78.09,0,2
-77.94,0,2
-77.81,0,2
-77.7,0,2
-77.6,0,2
-77.49,0,2
-77.39,0,2
-77.29,0,2
-77.19,0,2
-77.09,0,2
-76.99,0,2
-76.89,0,2
-76.99,0,2
-76.79,0,2
-76.64,0,2
-76.53,0,2
-76.42,0,2
-66.33,1,139.64
24.91,1,157.99
-6.51,1,87.66
-41.84,1,36.66
-9.49,1,28.17
-64.92,1,27.14
-64.84,1,27.02
-64.68,1,27
-64.39,1,26
-64.15,1,27
-63.58,1,27
-62.88,1,27
-62.04,1,27
-61.02,1,27
-59.79,1,27
-58.24,1,27
-56.21,1,27
-53.39,1,27
-49.04,1,27
-41.21,1,27
-22.5,1,27
-65,1,27
-66.28,1,27
-67.18,1,27
-67.72,1,27
-67.97,1,27
-67.99,1,27
-67.84,1,27
-67.55,1,27
-67.17,1,27
-66.87,1,27
-66.3,1,27.01
-65.67,1,27
-64.97,1,27
-64.2,1,27
-63.34,1,26.99
-62.37,1,27
-61.23,1,27.01
-59.87,1,27
-58.2,1,27
-56.27,1,27
-53.33,1,26.99
-48.81,1,27
-40.61,1,27
-20.6,1,27.02
-65,1,27
-66.36,1,27
-67.15,1,27
-67.61,1,26.99
-67.8,1,27
-67.77,1,27
-67.58,1,27
-67.27,1,27
-66.86,1,27
-66.37,1,27
-65.8,1,27
-65.17,1,27
-64.45,1,27
-63.65,1,27
-62.73,1,27
-61.68,1,27
-60.44,1,27
-58.92,1,27
-57,1,27
-54.39,1,27
-50.8,1,27
-44.45,1,27.02
-30.92,1,27
15.4,1,27
-65.84,1,27
-66.79,1,26.99
-67.39,1,27
-67.69,1,27
-67.75,1,27
-67.63,1,27
-67.37,1,27
-67.2,1,27
-66.71,1,27
-66.14,1,27
-65.52,1,27
-64.82,1,27
-64.04,1,27
-63.17,1,27
-62.17,1,27
-61.21,1,27
-59.83,1,27
-58.14,1,27
-55.93,1,27
-52.83,1,27
-47.98,1,27.01
-38.9,1,27
-15.35,1,27
-65.43,1,27
-66.48,0,24.49
-68.44,0,20.55
-71.39,0,17.95
-75.22,0,7.79
-82.3,0,2
-86.44,0,2
-87.35,0,2
-87.41,0,2
-87.3,0,2
-87.14,0,2
-86.98,0,2
-86.81,0,2
-86.65,0,2
-86.49,0,2
-86.32,0,2
-86.16,0,2
-86,0,2
-85.84,0,2
-85.76,0,2
-85.55,0,2
-85.38,0,2
-85.22,0,1
-85.19,0,2
-84.95,0,2
-84.77,0,2
-84.61,0,1
-84.59,0,2
-84.35,0,2
-84.17,0,2
-84.02,0,2
-83.87,0,2
-83.73,0,2
-83.58,0,2
-83.44,0,2
-83.3,0,2
-83.15,0,2
-83.01,0,2
-82.87,0,2
-82.74,0,2
-82.6,0,2
-82.46,0,2
-82.53,0,2
-82.26,0,2
-82.08,0,2
-81.93,0,2
-81.8,0,2
-81.66,0,2
-81.53,0,2
-81.4,0,2
-81.27,0,2
-81.15,0,2
-81.02,0,2
-80.89,0,2
-80.77,0,2
-80.64,0,2
-80.52,0,2
-80.4,0,2
-80.28,0,2
-80.15,0,2
-80.03,0,2
-79.92,0,2
-79.8,0,2
-79.68,0,2
-79.56,0,2
-79.45,0,2
-79.33,0,2
-79.22,0,2
-79.1,0,2
-78.99,0,2
-78.88,0,2
-78.88,0,2
-78.7,0,2
-78.56,0,2
-78.44,0,2
-78.33,0,2
-78.22,0,2
-78.11,0,2
-78.01,0,2
-77.9,0,2
-77.8,0,2
-77.69,0,2
-77.59,0,2
-77.49,0,2
-77.39,0,2
-77.29,0,2
-77.19,0,2
-77.09,0,2
-76.99,0,2
-76.89,0,2
-76.79,0,2
-76.7,0,2
-76.6,0,2
-76.51,0,2
-76.53,1,2
-66.18,1,139.76
25.32,1,159.11
-6.17,1,87.71
-41.83,1,36.67
-9.43,1,28.17
-64.92,1,27.14
-64.84,1,27.02
-64.69,1,27.18
-64.27,1,27.02
-63.84,1,27
-63.29,1,27
-62.67,1,26.91
-61.89,1,26.99
-60.88,1,27
-59.63,1,27
-58.06,1,27
-56,1,27
-53.09,1,27
-48.58,1,27
-40.3,1,26
-20.18,1,27.01
-65,1,27
-66.3,1,27
-67.21,1,26
-67.96,1,26.99
-68.17,1,27
-68.16,1,27
-67.98,1,27
-67.68,1,27
-67.29,1,27
-66.81,1,27
-66.27,1,27
-65.66,1,27
-64.98,1,27
-64.23,1,27
-63.38,1,27
-62.41,1,27
-61.3,1,27
-59.97,1,27
-58.33,1,27
-56.21,1,27.01
-53.26,1,27
-48.7,1,27
-40.41,1,27
-20.04,1,26.99
-65,1,27
-66.2,1,27
-67.04,1,27
-67.54,1,27
-67.75,1,27
-67.75,1,27
-67.58,1,27
-67.29,1,27
-66.89,1,27.01
-66.4,1,27
-65.85,1,27
-65.22,1,27
-64.52,1,26.99
-63.73,1,27
-62.83,1,27
