Time,Con_1,Con_2,Con_3,Con_4,Con_5,Mut_1,Mut_2,Mut_3,Mut_4,Mut_5
-10.333333,760.4,944.9,944.9,678.9,371.3,496.5,909.7,762.9,489.2,789
-10,836.6,778.7,778.7,652,308,474.9,849.4,721.9,495.5,918.1
-9.666667,793.2,777,777,618.4,308.5,502.2,955.8,885.7,477.6,870.1
-9.333334,923,820.5,820.5,568.1,478.8,481.8,834.7,793.7,469.2,812.6
-9.000001,826.9,722.1,722.1,619.6,320.2,504.6,776.3,818.4,405.8,715.1
-8.666668,813.2,776.4,776.4,563.7,461.8,495.8,908.3,856,381.5,721.2
-8.333335,755.8,796.3,796.3,544.7,511.6,492.4,956.6,744.5,403.3,770.4
-8.000002,754.9,880.8,880.8,724.2,390.5,469.3,950.8,675.7,443.3,990.4
-7.666669,833.4,720.5,720.5,573.5,448.3,455.1,1026.7,784.7,483.3,1001
-7.333336,782.2,669.4,669.4,540.6,471,466.2,865.6,898.3,367.4,816.4
-7.000003,794.7,660.5,660.5,558.7,497.8,461.2,785.5,788.9,455.9,803.8
-6.66667,787,716.3,716.3,517.4,432.8,450.4,886.2,909,478.8,725.5
-6.333337,926.1,707.8,707.8,569.9,439.8,448.9,1008.9,770.7,442.1,853.8
-6.000004,818.3,655.4,655.4,607.6,381.9,456.1,1054.6,775.6,411.4,870.2
-5.666671,844.9,817.4,817.4,596,393.6,423.2,1066.8,705.6,443.6,835
-5.333338,845.1,710.4,710.4,536.5,412.8,493.3,831.1,911.8,341.7,791
-5.000005,943.6,800.3,800.3,507.3,314.6,501.1,962.1,680,420.9,883.4
-4.666672,836.9,1074,1074,642.8,439,472.3,1058.8,807.5,417.3,787
-4.333339,826.5,874.6,874.6,456.8,333.1,486.8,957.6,722.4,416.4,808.3
-4.000006,927.1,811.2,811.2,581.7,447.5,456.6,801.8,779.9,410.6,744.7
-3.666673,803.1,888.5,888.5,538.1,393.4,474.6,840.3,813.8,419.7,782.2
-3.33334,884.4,937.7,937.7,489.4,484,420.3,816,950.4,450.3,815
-3.000007,833.4,882.6,882.6,506.1,412.9,528.2,1062.7,732.4,328.9,765.3
-2.666674,817.2,1080.5,1080.5,689.9,390.4,488.1,899.2,756.3,423.1,753.7
-2.333341,829.5,1092.8,1092.8,626,395.6,468.3,985.4,669.7,394.4,839.7
-2.000008,932.2,770.9,770.9,645,562.2,450.5,825.4,820.1,432,1011.2
-1.666675,814.4,948.2,948.2,623.7,435.4,474.2,836.6,784,529.2,816.9
-1.333342,916.7,946.5,946.5,664.1,497.5,467.4,978.2,702.3,450.2,774.8
-1.000009,825.6,896,896,624.1,486.3,432.7,886.4,757.6,432.6,804.5
-0.666676,826.9,892.5,892.5,581.6,451.7,475,878.9,815.5,449.3,907.8
-0.333343,845.2,998.9,998.9,663.5,330.5,397.5,962.7,772.1,541.1,971.3
0,3912.4,3343.3,3343.3,2948.7,2687,2567.3,4889.4,3148.7,2907.4,3886.4
0.333333,2937.9,2466.7,2466.7,2163.7,1611.6,1970.8,3711.6,2174.8,2254.7,2952
0.666666,2233.8,2100,2100,1654.9,1205.3,1682.2,2865.9,2144,1367.4,2359.2
0.999999,1954,1630.9,1630.9,1475.6,1074.9,1216.9,2514.2,1499.3,1127.8,1701.1
1.333332,1850.7,1717.1,1717.1,1232.6,856.2,1092.7,2261,1525.1,1110.5,1512.6
